dataset,scope,column,historical_vintage,current_vintage,common_months,months_with_any_difference,months_beyond_tolerance,share_beyond_tolerance,max_absolute_difference,mean_absolute_difference,tolerance,verdict
F-F_Research_Data_Factors,full_common_sample,Mkt-RF,publication_era_20170709,current_20260801,1091,649,649,0.5948670944087993,0.39000000000000057,0.012108157653528864,0.005,revised_beyond_publication_rounding
F-F_Research_Data_Factors,full_common_sample,SMB,publication_era_20170709,current_20260801,1091,1050,1050,0.9624197983501375,2.5000000000000004,0.10265811182401467,0.005,revised_beyond_publication_rounding
F-F_Research_Data_Factors,full_common_sample,HML,publication_era_20170709,current_20260801,1091,1036,1036,0.9495875343721356,3.65,0.16289642529789183,0.005,revised_beyond_publication_rounding
F-F_Research_Data_Factors,full_common_sample,RF,publication_era_20170709,current_20260801,1091,7,7,0.006416131989000917,0.010000000000000009,6.41613198900092e-05,0.005,revised_beyond_publication_rounding
F-F_Research_Data_Factors,baseline_window_1972_01_to_2013_12,Mkt-RF,publication_era_20170709,current_20260801,504,318,318,0.6309523809523809,0.14999999999999947,0.01240079365079365,0.005,revised_beyond_publication_rounding
F-F_Research_Data_Factors,baseline_window_1972_01_to_2013_12,SMB,publication_era_20170709,current_20260801,504,488,488,0.9682539682539683,1.7699999999999996,0.10807539682539682,0.005,revised_beyond_publication_rounding
F-F_Research_Data_Factors,baseline_window_1972_01_to_2013_12,HML,publication_era_20170709,current_20260801,504,496,496,0.9841269841269841,2.1999999999999997,0.20067460317460317,0.005,revised_beyond_publication_rounding
F-F_Research_Data_Factors,baseline_window_1972_01_to_2013_12,RF,publication_era_20170709,current_20260801,504,2,2,0.003968253968253968,0.010000000000000009,3.9682539682539716e-05,0.005,revised_beyond_publication_rounding
F-F_Momentum_Factor,full_common_sample,Mom,publication_era_20170709,current_20260801,1085,1046,1046,0.9640552995391705,1.8900000000000001,0.1225622119815668,0.005,revised_beyond_publication_rounding
F-F_Momentum_Factor,baseline_window_1972_01_to_2013_12,Mom,publication_era_20170709,current_20260801,504,487,487,0.9662698412698413,1.7799999999999998,0.09230158730158729,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,full_common_sample,Mkt-RF,publication_era_20170709,current_20260801,647,411,411,0.6352395672333848,0.14999999999999947,0.012009273570324571,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,full_common_sample,SMB,publication_era_20170709,current_20260801,647,613,613,0.9474497681607419,0.8499999999999996,0.07094281298299844,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,full_common_sample,HML,publication_era_20170709,current_20260801,647,632,632,0.9768160741885626,2.1999999999999997,0.17856259659969087,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,full_common_sample,RMW,publication_era_20170709,current_20260801,647,624,624,0.964451313755796,2.0300000000000002,0.17865533230293665,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,full_common_sample,CMA,publication_era_20170709,current_20260801,647,623,623,0.9629057187017002,1.3399999999999999,0.10973724884080373,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,full_common_sample,RF,publication_era_20170709,current_20260801,647,3,3,0.00463678516228748,0.010000000000000009,4.6367851622874846e-05,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,baseline_window_1972_01_to_2013_12,Mkt-RF,publication_era_20170709,current_20260801,504,322,322,0.6388888888888888,0.14999999999999947,0.012837301587301585,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,baseline_window_1972_01_to_2013_12,SMB,publication_era_20170709,current_20260801,504,478,478,0.9484126984126984,0.8499999999999996,0.07412698412698411,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,baseline_window_1972_01_to_2013_12,HML,publication_era_20170709,current_20260801,504,496,496,0.9841269841269841,2.1999999999999997,0.20067460317460317,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,baseline_window_1972_01_to_2013_12,RMW,publication_era_20170709,current_20260801,504,485,485,0.9623015873015873,1.1800000000000002,0.17057539682539682,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,baseline_window_1972_01_to_2013_12,CMA,publication_era_20170709,current_20260801,504,484,484,0.9603174603174603,1.3399999999999999,0.11585317460317462,0.005,revised_beyond_publication_rounding
F-F_Research_Data_5_Factors_2x3,baseline_window_1972_01_to_2013_12,RF,publication_era_20170709,current_20260801,504,2,2,0.003968253968253968,0.010000000000000009,3.9682539682539716e-05,0.005,revised_beyond_publication_rounding
