portfolio_set,model,n_assets,n_months,n_factors,article_cross_sectional_fit,chi_square_statistic,chi_square_degrees_of_freedom,chi_square_asymptotic_p_value,root_mean_squared_pricing_error,mean_absolute_pricing_error,max_absolute_pricing_error,shanken_multiplier,pseudo_inverse_rcond,beta_matrix_rank,lambda_RM,shanken_t_RM,shanken_se_RM,article_constrained_fit,constrained_fit_applicable,mean_pricing_error,replication_status,lambda_FFR_innovation,shanken_t_FFR_innovation,shanken_se_FFR_innovation,lambda_TB_innovation,shanken_t_TB_innovation,shanken_se_TB_innovation,lambda_SMB,shanken_t_SMB,shanken_se_SMB,lambda_HML,shanken_t_HML,shanken_se_HML,lambda_UMD,shanken_t_UMD,shanken_se_UMD,lambda_RMW,shanken_t_RMW,shanken_se_RMW,lambda_CMA,shanken_t_CMA,shanken_se_CMA,lambda_ME,shanken_t_ME,shanken_se_ME,lambda_IA,shanken_t_IA,shanken_se_IA,lambda_ROE,shanken_t_ROE,shanken_se_ROE,lambda_LIQ,shanken_t_LIQ,shanken_se_LIQ
book_to_market,capm,10,504,1,-0.4100087320740413,15.493891034626857,9,0.07823269281859184,0.19303947299757745,0.15384472256642928,0.3751120745407226,1.022993340018501,1e-15,1,0.6990855418524418,3.3164313722606567,0.21079451476057764,-0.2915163947465349,True,0.010071628874143701,documented_reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earnings_to_price,capm,10,504,1,-0.8809251508377092,22.77006595508473,9,0.0067338954189244135,0.21308575478494513,0.18318785212054756,0.4117799886098136,1.0212258698166892,1e-15,1,0.6716794135251678,3.1981902181571846,0.2100185941761129,-0.6529795102561766,True,0.02114504101035215,documented_reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equity_duration,capm,10,504,1,-0.7881447830569539,22.941444959900338,9,0.006329171323911133,0.22868175280747352,0.17933652758769333,0.5150019028969601,1.022136012580144,1e-15,1,0.6859287180806282,3.2761754654617983,0.2093687365990765,-0.5701260116819022,True,0.021990240761909773,documented_reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_term_reversal,capm,10,504,1,-0.2346886515725619,13.008485960703922,9,0.16222265732548438,0.15432660179219987,0.12626357454878606,0.32508724222380503,1.0233866449959883,1e-15,1,0.7050391786423272,3.3556620628649054,0.21010434466705452,-0.08651793525984286,True,0.009834774588669137,documented_reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investment_to_assets,capm,10,504,1,-1.129524132793212,20.8142252237407,9,0.013501322239937618,0.17771561227421606,0.13873340066184028,0.42142480691359824,1.0172275711057608,1e-15,1,0.6051197324184684,2.924306713054391,0.20692758721824722,-0.9324825546686069,True,0.019464510590230005,documented_reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppe_investment,capm,10,504,1,-0.4058215325731309,28.15503970169849,9,0.0008985929905979691,0.16361858182926511,0.12924631811759618,0.3203969140482708,1.0155380454852263,1e-15,1,0.5746818534735204,2.778457139476563,0.20683488159971594,-0.36020308038570725,True,0.009193569748386598,documented_reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory_growth,capm,10,504,1,-0.5542761790164572,16.58227418282072,9,0.05567378538266312,0.13198473239289427,0.10974598496181517,0.28773507848645796,1.017121900122619,1e-15,1,0.6032610271688084,2.9116153996682628,0.20719117890279787,-0.4506719839402622,True,0.008168809755962635,documented_reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all_seven_families_joint,capm,70,504,1,-0.6125179630398105,99.57356416612015,69,0.00939911140430763,0.1893271831372064,0.14657462860752926,0.4752463427397641,1.0197360233617185,1e-15,1,0.6476779544193649,3.120059853070002,0.2075851057094556,-0.46229822421619415,True,0.015011209310093438,documented_reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book_to_market,market_plus_fedfunds_innovation,10,504,2,0.7065967164420085,3.683158427566778,8,0.8845193978274536,0.0879719753761659,0.07761534470259558,0.1623368365687916,2.6877147848248106,1e-15,2,0.6042011361324355,2.844960740214923,0.21237591352026566,,False,0.002450411881433373,documented_reconstruction,-0.7601301178391229,-2.0792065523707293,0.3655866306175382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earnings_to_price,market_plus_fedfunds_innovation,10,504,2,0.4937262614446596,7.345788494285972,8,0.49982513850803323,0.11004284510397055,0.09819730013637298,0.16814651794244362,2.5482379919896547,1e-15,2,0.5945909704846362,2.7867122327883145,0.21336647662744254,,False,0.0028851282787590695,documented_reconstruction,-0.7281132288180231,-2.1741196009777948,0.33490026422215197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equity_duration,market_plus_fedfunds_innovation,10,504,2,0.6814964925157461,4.9274674809320995,8,0.7652996539143821,0.09615065036348026,0.08397553949094923,0.15163789856385623,2.7692115498332295,1e-15,2,0.613078116122681,2.8924369709351496,0.2119590235788155,,False,0.004032228566505114,documented_reconstruction,-0.7782407946162454,-2.5228811787632575,0.30847302725439774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_term_reversal,market_plus_fedfunds_innovation,10,504,2,0.4863865409781156,5.742971369780804,8,0.6759974916175358,0.09933720731140804,0.09126109304722575,0.18424039364283218,1.9280029115025545,1e-15,2,0.6384767175957473,3.00552805531003,0.21243412333740014,,False,0.0008349885866609452,documented_reconstruction,-0.564000762452668,-1.9648439772350585,0.28704608049659674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investment_to_assets,market_plus_fedfunds_innovation,10,504,2,0.6894547903963295,3.0927287602422497,8,0.9284041407793211,0.06749160270185918,0.05789453287865447,0.11303536818817733,2.8470197302067826,1e-15,2,0.5737205443993562,2.7340975258212934,0.209839092783282,,False,0.0021655306913169027,documented_reconstruction,-0.7948946378842634,-2.2520173149279166,0.3529700382919599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppe_investment,market_plus_fedfunds_innovation,10,504,2,0.5607287089233997,5.05340804850354,8,0.7518528548229455,0.09133616822163683,0.07590602431764865,0.1579145086263133,2.9343683159664433,1e-15,2,0.5675976289970601,2.7069443082973237,0.20968204896467957,,False,0.001915349097153679,documented_reconstruction,-0.8133571965247125,-2.4428835225500602,0.3329496429185747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory_growth,market_plus_fedfunds_innovation,10,504,2,0.19325767117945947,7.241055178426615,8,0.5108621515703886,0.09490749026876125,0.07071967507969049,0.1901953612942704,1.4781470181244614,1e-15,2,0.609077944873821,2.92781878199635,0.20803129914294685,,False,0.0005339829808951091,documented_reconstruction,-0.4042326183811038,-2.033881304257436,0.19874936533166468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all_seven_families_joint,market_plus_fedfunds_innovation,70,504,2,0.543937122181295,35.65472819015542,68,0.9995806681940079,0.10039313928051781,0.08164090447481438,0.23883148510927288,2.424230294404758,1e-15,2,0.6012277352967575,2.8704741592621783,0.20945241167100284,,False,0.00215818123108365,documented_reconstruction,-0.6984645567038997,-2.859541110096134,0.2442575678446596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
