rate,factor_definition,portfolio_set,n_months,lambda_rate,shanken_t_rate,lambda_market,article_cross_sectional_fit,root_mean_squared_pricing_error,replication_status
fedfunds,first_difference,book_to_market,503,-0.7487929041634482,-2.0694417026393173,0.6033987916630005,0.685752512675118,0.08931076655321327,documented_reconstruction
fedfunds,first_difference,earnings_to_price,503,-0.7099713025187405,-2.2048591867919334,0.5948118286984119,0.4701132350538525,0.11151337965343773,documented_reconstruction
fedfunds,first_difference,equity_duration,503,-0.7757081200896745,-2.522707961541288,0.6113439623788074,0.6943016144788167,0.09298650756950906,documented_reconstruction
fedfunds,first_difference,inventory_growth,503,-0.3997311411987625,-2.079352437813696,0.605625857607875,0.2137878392399053,0.09192319601020403,documented_reconstruction
fedfunds,first_difference,investment_to_assets,503,-0.7914052163456001,-2.247591989844988,0.5717205971720839,0.6956999898723166,0.06667095139523281,documented_reconstruction
fedfunds,first_difference,long_term_reversal,503,-0.5442574914697396,-1.981181480772715,0.6400633319206512,0.4220739429687743,0.10235813246195075,documented_reconstruction
fedfunds,first_difference,ppe_investment,503,-0.7940794550898012,-2.4722792397427615,0.5636994963019489,0.5416140008286889,0.09396683658889386,documented_reconstruction
fedfunds,first_difference,all_seven_families_joint,503,-0.6862535706237578,-2.8698729271460848,0.5999687248231218,0.5266157067183974,0.1011447558337248,documented_reconstruction
fedfunds,ar1_innovation,book_to_market,503,-0.7618596036715548,-2.048274150633266,0.6003199334021695,0.6935640055429375,0.08819644392187061,documented_reconstruction
fedfunds,ar1_innovation,earnings_to_price,503,-0.7267340773026989,-2.1653663005399424,0.5907329582932213,0.4829010511320668,0.11016344994114807,documented_reconstruction
fedfunds,ar1_innovation,equity_duration,503,-0.7822574117063518,-2.5000727538781797,0.6091257718226394,0.6760020762238215,0.09573729434194538,documented_reconstruction
fedfunds,ar1_innovation,inventory_growth,503,-0.3962375018554606,-2.036201983233816,0.604564864178694,0.1747316403404282,0.09417997555950912,documented_reconstruction
fedfunds,ar1_innovation,investment_to_assets,503,-0.7947432284706848,-2.2469499677579483,0.5700557549262006,0.6903407566593855,0.067255934617667,documented_reconstruction
fedfunds,ar1_innovation,long_term_reversal,503,-0.5599958443048892,-1.9638469693716147,0.6349613209551002,0.45526514903176096,0.0993751167246166,documented_reconstruction
fedfunds,ar1_innovation,ppe_investment,503,-0.8076047807193273,-2.4965374511505125,0.5642458677147231,0.5673916928590148,0.09128380188975867,documented_reconstruction
fedfunds,ar1_innovation,all_seven_families_joint,503,-0.6951118917327078,-2.8544387833933844,0.5977511495608403,0.5316160031985077,0.10061066581693484,documented_reconstruction
tb3ms,first_difference,book_to_market,503,-0.5296508483931045,-2.2860034601057997,0.6150150185478922,0.7320457168962221,0.0824432719601572,documented_reconstruction
tb3ms,first_difference,earnings_to_price,503,-0.38796133349761813,-2.672236729536134,0.629520585466914,0.2469187751723223,0.13293817756797954,documented_reconstruction
tb3ms,first_difference,equity_duration,503,-0.5542417698977977,-2.828089301651893,0.6280328273711567,0.6786773577230558,0.0952712304365203,documented_reconstruction
tb3ms,first_difference,inventory_growth,503,-0.3285934142312397,-1.9595015794417865,0.6049816727457121,0.16188610374674817,0.09491126246984415,documented_reconstruction
tb3ms,first_difference,investment_to_assets,503,-0.5485346169336541,-2.535889152623739,0.5970484002481428,0.5809922334359581,0.07820907183356718,documented_reconstruction
tb3ms,first_difference,long_term_reversal,503,-0.34974380416483614,-2.201410253344012,0.6781444532467616,0.4377811808424453,0.10098144220147313,documented_reconstruction
tb3ms,first_difference,ppe_investment,503,-0.6988730843637493,-2.15320088153544,0.5767033008655054,0.38423207314033614,0.10891432663257067,documented_reconstruction
tb3ms,first_difference,all_seven_families_joint,503,-0.46780947516562865,-3.0509773547590484,0.6185004145655794,0.44231575747687046,0.10976273356526166,documented_reconstruction
tb3ms,ar1_innovation,book_to_market,503,-0.5377022205345428,-2.270529657157151,0.6123230505029096,0.7409626462280663,0.08106012779394334,documented_reconstruction
tb3ms,ar1_innovation,earnings_to_price,503,-0.3976597163977741,-2.6474377512003597,0.6271559075568548,0.25920865991727216,0.13184764667937376,documented_reconstruction
tb3ms,ar1_innovation,equity_duration,503,-0.5638842020606198,-2.79638698688036,0.6253935901055613,0.6756607368138547,0.09571801426836576,documented_reconstruction
tb3ms,ar1_innovation,inventory_growth,503,-0.324664495568419,-1.920787367151718,0.6040132946283675,0.12455182161151368,0.09700416121791454,documented_reconstruction
tb3ms,ar1_innovation,investment_to_assets,503,-0.5498458380353137,-2.5365575344850466,0.5954981260193662,0.5745955431471658,0.07880495016890876,documented_reconstruction
tb3ms,ar1_innovation,long_term_reversal,503,-0.3583896273915785,-2.2019620829811037,0.6750423611175369,0.463262653463119,0.09867067939024263,documented_reconstruction
tb3ms,ar1_innovation,ppe_investment,503,-0.7151041579065975,-2.168359552174139,0.5771878048008764,0.41149294280107107,0.10647353327060918,documented_reconstruction
tb3ms,ar1_innovation,all_seven_families_joint,503,-0.4754239952697438,-3.0338492711724308,0.616647792980554,0.4506943787846831,0.10893493922482357,documented_reconstruction
