asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,shift_months,boundary_rule,verdict,scope,evidence_class,hypothesis,replication_status
portfolio_excess_return__book_to_market__decile_01,joint_regime_factor_interactions,10.0,72.30770377397775,1.5861302198822592e-11,10.0,648.0,1.7447432418704852e-09,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_01,joint_rate_beta_regime_interactions,5.0,34.77756526727397,1.6665343615397845e-06,5.0,648.0,0.0001283231458385634,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_02,joint_regime_factor_interactions,10.0,107.26707754911475,1.8957016178039223e-18,10.0,648.0,2.4454550869670596e-16,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_02,joint_rate_beta_regime_interactions,5.0,46.64734259398486,6.704052357376691e-09,5.0,648.0,6.30180921593409e-07,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_03,joint_regime_factor_interactions,10.0,82.85809535278842,1.378880705994656e-13,10.0,648.0,1.6132904260137475e-11,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_03,joint_rate_beta_regime_interactions,5.0,34.33841780903249,2.0387308865992276e-06,5.0,648.0,0.00015086608560834283,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_04,joint_regime_factor_interactions,10.0,40.29118666759743,1.5056321891983916e-05,10.0,648.0,0.0009334919573030028,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_04,joint_rate_beta_regime_interactions,5.0,25.835757974864162,9.602443453155499e-05,5.0,648.0,0.004993270595640859,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_05,joint_regime_factor_interactions,10.0,170.47463687433267,2.212220488128526e-31,10.0,648.0,3.1192308882612217e-29,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_05,joint_rate_beta_regime_interactions,5.0,109.8198495905467,4.4727190311933295e-22,5.0,648.0,5.859261930863262e-20,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_06,joint_regime_factor_interactions,10.0,53.09264476816509,7.156721389554967e-08,10.0,648.0,6.011645967226172e-06,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_06,joint_rate_beta_regime_interactions,5.0,36.820691569591794,6.506198854617233e-07,5.0,648.0,5.139897095147614e-05,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_07,joint_regime_factor_interactions,10.0,55.74921725616085,2.287323063478192e-08,10.0,648.0,2.0814639877651547e-06,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_07,joint_rate_beta_regime_interactions,5.0,17.127203759208335,0.004264763911377849,5.0,648.0,0.14500197298684686,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_08,joint_regime_factor_interactions,10.0,135.97037002075825,2.816951292112097e-24,10.0,648.0,3.802884244351331e-22,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_08,joint_rate_beta_regime_interactions,5.0,56.91479596653414,5.265627016806663e-11,5.0,648.0,5.6342209079831295e-09,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_09,joint_regime_factor_interactions,10.0,126.05416346697572,2.9756263933075425e-22,10.0,648.0,3.987339367032107e-20,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_09,joint_rate_beta_regime_interactions,5.0,86.596417636215,3.482188419798972e-17,5.0,648.0,4.3527355247487145e-15,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_10,joint_regime_factor_interactions,10.0,42.71176094493254,5.599124988796633e-06,10.0,648.0,0.000380740499238171,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__book_to_market__decile_10,joint_rate_beta_regime_interactions,5.0,7.508180148034007,0.1855050205197122,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_01,joint_regime_factor_interactions,10.0,92.98590116123944,1.3672889753882631e-15,10.0,648.0,1.668092549973681e-13,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
